P(kPa)-293(K);q(mol/kg);P(kPa)-308(K);q(mol/kg);P(kPa)-323(K);q(mol/kg)
0.693;0;0.67;0;0.776;0
7.667;0.002;7.709;0.001;8.002;0.001
14.43;0.003;14.67;0.003;15.1;0.002
20.96;0.004;21.68;0.004;22.11;0.003
27.49;0.006;28.26;0.006;28.42;0.005
33.9;0.007;34.9;0.008;35.44;0.006
41.37;0.009;40.96;0.01;41.3;0.008
46.61;0.01;46.81;0.011;48.1;0.008
52.15;0.011;52.73;0.013;54.36;0.009
57.92;0.012;58.37;0.011;60.37;0.01
63.61;0.014;63.96;0.012;65.64;0.01
68.64;0.015;68.87;0.013;70.85;0.011
74.27;0.016;74.19;0.014;76.03;0.012
78.97;0.017;78.95;0.015;80.93;0.013
83.58;0.018;84.15;0.017;85.93;0.013
88.06;0.019;96.55;0.017;97.33;0.015
92.62;0.02;134.4;0.025;135.1;0.021
96.65;0.022;168.6;0.031;169.7;0.027
100.1;0.022;202.7;0.038;204.4;0.032
102.2;0.027;237.3;0.044;239.1;0.037
136.1;0.029;271.5;0.05;273.5;0.043
170.3;0.034;306.1;0.056;308.2;0.049
204.3;0.041;340.4;0.062;343.1;0.054
238;0.052;374.5;0.069;378;0.063
272.1;0.059;409.3;0.082;412.5;0.073
306.2;0.064;443.8;0.088;447.5;0.072
340.2;0.074;478.2;0.092;482.3;0.077
374.2;0.082;512.9;0.098;516.8;0.083
408.1;0.092;547.5;0.103;551.5;0.089
442.1;0.095;582;0.106;586.3;0.094
476;0.157;616.5;0.112;621.1;0.099
510.2;0.11;650.8;0.119;655.7;0.104
544.1;0.116;685.3;0.125;690.3;0.11
578.3;0.132;719.6;0.13;725.2;0.115
612.3;0.122;857.6;0.145;864.6;0.137
646.3;0.119;892.2;0.16;899.4;0.141
680.3;0.145;925;0.166;934.1;0.148
714.3;0.156;961;0.173;968.8;0.152
748.2;0.16;995.1;0.179;1003;0.158
782.5;0.167;;;;
816.5;0.174;;;;
850.5;0.18;;;;
880.5;0.185;;;;
915.8;0.194;;;;
962.5;0.201;;;;
